x,y,timestamp,ssid,bssid,security,frequency,rssi
0.5799486,0.7560966,1745922148512,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5520,-36
0.5799486,0.7560966,1745922148512,WUNIST_AAA,38:20:56:85:ad:8f,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5520,-37
0.5799486,0.7560966,1745922148512,keduroam,38:20:56:85:ad:8d,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5520,-37
0.5799486,0.7560966,1745922148512,WUNIST_GUEST,38:20:56:85:ad:8c,[ESS],5520,-37
0.5799486,0.7560966,1745922148512,eduroam,38:20:56:85:ad:8a,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5520,-37
0.5799486,0.7560966,1745922148512,eduroam,38:20:56:85:ad:85,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-51
0.5799486,0.7560966,1745922148512,keduroam,38:20:56:85:ad:82,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-51
0.5799486,0.7560966,1745922148512,WUNIST_GUEST,38:20:56:85:ad:83,[ESS],2412,-51
0.5799486,0.7560966,1745922148512,WUNIST_AAA,38:20:56:85:ad:80,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-51
0.5799486,0.7560966,1745922148512,MERCUSYS_0648,00:eb:d8:ba:06:48,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2457,-58
0.5799486,0.7560966,1745922148512,keduroam,38:20:56:81:16:6d,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-67
0.5799486,0.7560966,1745922148512,WUNIST_AAA_5G,38:20:56:81:16:6e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-67
0.5799486,0.7560966,1745922148512,WUNIST_AAA,38:20:56:81:16:6f,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-67
0.5799486,0.7560966,1745922148512,eduroam,38:20:56:81:16:6a,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-68
0.5799486,0.7560966,1745922148512,WUNIST_GUEST,38:20:56:81:16:6c,[ESS],5320,-68
0.5799486,0.7560966,1745922148512,DIRECT-1CpGrEB504345GOjp,fa:25:51:c0:b4:4a,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2437,-70
