x,y,timestamp,ssid,bssid,capabilities,frequency,level
0.5799486,0.7532593,1745831288241,WUNIST_AAA_5G,38:20:56:85:ad:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-37
0.5799486,0.7532593,1745831288241,WUNIST_AAA,38:20:56:85:ad:8f,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-39
0.5799486,0.7532593,1745831288241,keduroam,38:20:56:85:ad:8d,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-39
0.5799486,0.7532593,1745831288241,WUNIST_GUEST,38:20:56:85:ad:8c,[ESS],5500,-39
0.5799486,0.7532593,1745831288241,eduroam,38:20:56:85:ad:8a,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5500,-39
0.5799486,0.7532593,1745831288241,eduroam,38:20:56:85:ad:85,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-55
0.5799486,0.7532593,1745831288241,keduroam,38:20:56:85:ad:82,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-55
0.5799486,0.7532593,1745831288241,WUNIST_GUEST,38:20:56:85:ad:83,[ESS],2412,-55
0.5799486,0.7532593,1745831288241,WUNIST_AAA,38:20:56:85:ad:80,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-55
0.5799486,0.7532593,1745831288241,MERCUSYS_0648,00:eb:d8:ba:06:48,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2457,-68
0.5799486,0.7532593,1745831288241,another2,58:86:94:52:54:b8,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2452,-72
0.5799486,0.7532593,1745831288241,eduroam,38:20:56:81:16:65,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-73
