x,y,timestamp,ssid,bssid,capabilities,frequency,level
0.61012787,0.74636877,1745832427583,eduroam,38:20:56:81:08:2a,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-39
0.61012787,0.74636877,1745832427583,WUNIST_AAA_5G,38:20:56:81:08:2e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-39
0.61012787,0.74636877,1745832427583,WUNIST_AAA,38:20:56:81:08:2f,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-39
0.61012787,0.74636877,1745832427583,WUNIST_GUEST,38:20:56:81:08:2c,[ESS],5320,-39
0.61012787,0.74636877,1745832427583,keduroam,38:20:56:81:08:2d,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5320,-39
0.61012787,0.74636877,1745832427583,eduroam,38:20:56:81:08:25,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2437,-47
0.61012787,0.74636877,1745832427583,WUNIST_GUEST,38:20:56:81:08:23,[ESS],2437,-47
0.61012787,0.74636877,1745832427583,keduroam,38:20:56:81:08:22,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2437,-48
0.61012787,0.74636877,1745832427583,WUNIST_AAA,38:20:56:81:08:20,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2437,-48
0.61012787,0.74636877,1745832427583,WUNIST_AAA_5G,38:20:56:7e:de:8e,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5745,-56
0.61012787,0.74636877,1745832427583,eduroam,38:20:56:7e:de:8a,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5745,-57
0.61012787,0.74636877,1745832427583,WUNIST_AAA,38:20:56:7e:de:8f,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5745,-58
0.61012787,0.74636877,1745832427583,WUNIST_GUEST,38:20:56:7e:de:8c,[ESS],5745,-58
0.61012787,0.74636877,1745832427583,keduroam,38:20:56:7e:de:8d,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5745,-58
0.61012787,0.74636877,1745832427583,keduroam,80:e8:6f:d7:7b:22,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-67
0.61012787,0.74636877,1745832427583,MERCUSYS_0648,00:eb:d8:ba:06:48,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2457,-67
0.61012787,0.74636877,1745832427583,t203-2.4G,00:1c:85:0f:0b:9c,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2417,-68
0.61012787,0.74636877,1745832427583,eduroam,80:e8:6f:d7:7b:25,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-68
0.61012787,0.74636877,1745832427583,WUNIST_AAA,80:e8:6f:d7:7b:20,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-68
0.61012787,0.74636877,1745832427583,WUNIST_GUEST,80:e8:6f:d7:7b:23,[ESS],2412,-69
0.61012787,0.74636877,1745832427583,eduroam,38:20:56:85:ad:85,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-70
0.61012787,0.74636877,1745832427583,keduroam,38:20:56:85:ad:82,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-70
0.61012787,0.74636877,1745832427583,WUNIST_AAA,38:20:56:85:ad:80,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2412,-70
0.61012787,0.74636877,1745832427583,eduroam,38:20:56:7e:de:85,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2462,-70
0.61012787,0.74636877,1745832427583,WUNIST_GUEST,38:20:56:85:ad:83,[ESS],2412,-71
0.61012787,0.74636877,1745832427583,EE Practice Lab 309-1,58:86:94:43:a0:44,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2427,-72
0.61012787,0.74636877,1745832427583,eduroam,38:20:56:81:03:8a,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5280,-72
0.61012787,0.74636877,1745832427583,WUNIST_GUEST,38:20:56:81:03:8c,[ESS],5280,-72
0.61012787,0.74636877,1745832427583,WUNIST_GUEST,38:20:56:7e:de:83,[ESS],2462,-72
0.61012787,0.74636877,1745832427583,keduroam,38:20:56:7e:de:82,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2462,-72
0.61012787,0.74636877,1745832427583,WUNIST_AAA,38:20:56:7e:de:80,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2462,-72
0.61012787,0.74636877,1745832427583,keduroam,80:e8:6f:d7:7b:2d,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],5745,-72
0.61012787,0.74636877,1745832427583,EE Practice Lab 309-2,58:86:94:43:9f:28,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2447,-72
